filepath,scan,frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c31-CO,3,0,0,1,0,0,0,43.03208297626777,56.96791702373223,0.8879955633350931,0.7279939665865822,966.8176659999999,0.06450129990557917,966.6175,-207.0359355638496,6.0,False,2222
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c31-CO,3,0,0,1,0,0,0,43.03208297626777,56.96791702373223,0.8879955633350931,0.7279939665865822,966.818992,0.1418250299213547,966.6175,-208.40715963100382,6.0,False,2222
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c31-CO,3,0,0,1,0,0,0,43.03208297626777,56.96791702373223,0.8879955633350931,0.7279939665865822,967.153425,0.04872260448732432,966.6175,-554.126146014548,6.0,False,2222
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,y17-2NH3,2,0,0,0,0,0,1,0.0,0.0,0.8805976468833989,0.9377984126411398,862.3828,2.0,862.3828,0.0,2.0,True,1817
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,y17-2NH3,2,0,0,0,0,0,1,0.0,0.0,0.8805976468833989,0.9377984126411398,862.88445,1.8179000000000007,862.8824,-2.375752628354633,1.0,True,1820
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,y17-2NH3,2,0,0,0,0,0,1,0.0,0.0,0.8805976468833989,0.9377984126411398,863.3861,0.9251300977500003,863.3821,-4.6329214704974975,1.0,True,1827
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,y17-2NH3,2,0,0,0,0,0,1,0.0,0.0,0.8805976468833989,0.9377984126411398,863.88775,0.3402741527102099,863.8864,-1.5627030247878648,3.0,True,1831
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,y17-2NH3,2,0,0,0,0,0,1,0.0,0.0,0.8805976468833989,0.9377984126411398,864.3894,0.10011182942772649,864.7657,435.33620379890675,1.0,False,1832
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,y17-2NH3,2,0,0,0,0,0,1,0.0,0.0,0.8805976468833989,0.9377984126411398,864.8910500000001,0.024859645477232555,864.8606,-35.20674656083807,3.0,False,1834
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,809.353224,4.668065266655125,809.3507,-3.1185395018504005,3.0,True,1727
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,810.3565239999999,1.8290646731071452,810.3605,4.906482372047509,5.0,True,1731
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,810.3605,5.0,810.3605,0.0,5.0,True,1731
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,811.359824,0.8629776664983417,811.0118,-428.93915831850387,6.0,False,1735
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,811.3638,1.9591250000000007,811.0118,-433.8374475173473,6.0,False,1735
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,812.363124,0.24130793951807863,811.0118,-1663.4482290951169,6.0,False,1735
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,812.3670999999999,0.924341903125,811.0118,-1668.3344266402999,6.0,False,1735
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,813.3664239999999,0.06022113366573218,814.9712,1973.0049737091376,6.0,False,1736
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,813.3703999999999,0.25846675842536626,814.9712,1968.1070272535728,6.0,False,1736
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c8,1,0,0,0,0,0,0,48.283344577276964,0.0,0.8398722625410957,0.6653885413143407,814.3737,0.06450331157096618,814.9712,733.6926524026601,6.0,False,1736
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1068.528567,2.919111422482997,1068.4747,-50.4123162109919,3.0,False,2941
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1068.863,5.0,1068.863,0.0,5.0,True,2944
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1068.864325,2.3860998685588424,1068.863,-1.2396334772905953,5.0,True,2944
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1069.197433,4.64845870807426,1069.1842,-12.376572924420314,2.0,True,2947
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1069.198759,4.087031159861011,1069.1842,-13.616738588255581,2.0,True,2947
