frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
c3,1,0,0,0,0,0,0,0.0,0.0,0.9977880800527118,0.5767523995034943,363.177,57.52,363.177,0.0,57.52,True,171
c3,1,0,0,0,0,0,0,0.0,0.0,0.9977880800527118,0.5767523995034943,364.1803,10.086132000000006,364.1789,-3.84424967520108,9.38,True,173
c3,1,0,0,0,0,0,0,0.0,0.0,0.9977880800527118,0.5767523995034943,365.1836,3.8273850406620014,365.1021,-223.17541094398942,3.837,False,174
b8-H2O,1,1,0,0,0,0,0,0.0,0.0,0.9970966672372935,0.9970966672372935,775.3278,16.67,775.3278,0.0,16.67,True,936
b8-H2O,1,1,0,0,0,0,0,0.0,0.0,0.9970966672372935,0.9970966672372935,776.3311000000001,6.4537905000000055,776.3301,-1.2881101891835067,6.0,True,940
b8-H2O,1,1,0,0,0,0,0,0.0,0.0,0.9970966672372935,0.9970966672372935,777.3344000000001,3.018178258698749,777.3192,-19.55400404259716,2.0,True,945
b8-H2O,1,1,0,0,0,0,0,0.0,0.0,0.9970966672372935,0.9970966672372935,778.3377,0.8345424363173265,777.4821,-1099.2657814212198,2.701,False,946
b8-H2O,1,1,0,0,0,0,0,0.0,0.0,0.9970966672372935,0.9970966672372935,779.341,0.20504895261438297,779.3185,-28.870545756012298,1.731,False,947
c9-CO2,1,0,0,0,1,0,0,0.0,100.0,0.9795130965752671,0.8725918457980193,865.3998,6.0,865.3998,0.0,6.0,True,1020
c9-CO2,1,0,0,0,1,0,0,0.0,100.0,0.9795130965752671,0.8725918457980193,866.4031,2.5727400000000014,866.4063,3.6934309214643184,3.457,True,1023
c9-CO2,1,0,0,0,1,0,0,0.0,100.0,0.9795130965752671,0.8725918457980193,867.4064000000001,1.1991173848499996,867.7232,365.226726480164,1.732,False,1025
c9-CO2,1,0,0,0,1,0,0,0.0,100.0,0.9795130965752671,0.8725918457980193,868.4097,0.35235693678183067,868.9232,591.310760347228,5.0,False,1026
c9-CO2,1,0,0,0,1,0,0,0.0,100.0,0.9795130965752671,0.8725918457980193,869.413,0.08943142039236393,868.9232,-563.3686176765924,5.0,False,1026
c7,1,0,0,0,0,0,0,0.0,100.0,0.9549594685082188,0.8391262779348392,737.3016,30.62,737.3016,0.0,30.62,True,865
c7,1,0,0,0,0,0,0,0.0,100.0,0.9549594685082188,0.8391262779348392,738.3049,10.860607800000004,738.3089,5.417815864447195,13.78,True,869
c7,1,0,0,0,0,0,0,0.0,100.0,0.9549594685082188,0.8391262779348392,739.3082,5.180598719365499,739.3,-11.091450088206354,1.723,True,872
c7,1,0,0,0,0,0,0,0.0,100.0,0.9549594685082188,0.8391262779348392,740.3115,1.3608993272840362,740.322,14.183218820697885,7.636,True,877
c7,1,0,0,0,0,0,0,0.0,100.0,0.9549594685082188,0.8391262779348392,741.3148,0.33063254269575765,741.312,-3.7770728440593166,3.0,True,879
z9-NH3,1,0,1,0,0,0,0,0.0,100.0,0.9363933605772136,0.48350839566621817,909.3831,18.75,909.3831,0.0,18.75,True,1077
z9-NH3,1,0,1,0,0,0,0,0.0,100.0,0.9363933605772136,0.48350839566621817,910.3864,8.639437499999998,910.3892,3.0756171225528672,4.521,True,1082
z9-NH3,1,0,1,0,0,0,0,0.0,100.0,0.9363933605772136,0.48350839566621817,911.3897,2.5473756332812507,911.4037,15.361156703888584,1.726,True,1085
z9-NH3,1,0,1,0,0,0,0,0.0,100.0,0.9363933605772136,0.48350839566621817,912.3929999999999,0.5624081984568676,912.336,-62.473079034914434,1.722,False,1087
c8-2NH3,1,0,0,0,0,0,1,100.0,0.0,0.9223881951759797,0.41586639018062826,775.3132,7.0,775.3132,0.0,7.0,True,935
c8-2NH3,1,0,0,0,0,0,1,100.0,0.0,0.9223881951759797,0.41586639018062826,776.3165,2.6861450000000007,776.3301,17.518628033793853,6.0,True,940
c8-2NH3,1,0,0,0,0,0,1,100.0,0.0,0.9223881951759797,0.41586639018062826,777.3198,1.2722147907000005,777.3192,-0.7718830781913372,2.0,True,945
c8-2NH3,1,0,0,0,0,0,1,100.0,0.0,0.9223881951759797,0.41586639018062826,778.3231000000001,0.3515101458818679,777.4821,-1080.5281251450995,2.701,False,946
c8-2NH3,1,0,0,0,0,0,1,100.0,0.0,0.9223881951759797,0.41586639018062826,779.3264,0.08743672477525587,779.3185,-10.136959302370997,1.731,True,947
