filepath,scan,mz_min,mz_max,precursor_charge,reduction,charge,proton_count,h_transfer,loss_formula,loss_count,anchor_theory_mz,anchor_obs_mz,anchor_ppm,anchor_int,anchor_rel_int,shift_mz,range_min_mz,range_max_mz
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,8,2,CO,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1231.9253127671234,1233.9319127671233
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,4,-2,CO2,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1283.61673630448,1285.62333630448
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,5,-1,CO2,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1283.7846157156466,1285.7912157156466
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,6,0,CO2,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1283.9524951268133,1285.9590951268133
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,7,1,CO2,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1284.1203745379798,1286.1269745379798
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,8,2,CO2,1,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1284.2882539491466,1286.2948539491465
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,4,-2,H2O,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1284.9448529497665,1286.9514529497667
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,5,-1,H2O,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.1127323609333,1287.1193323609332
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,6,0,H2O,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.2806117721,1287.2872117721
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,7,1,H2O,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.4484911832665,1287.4550911832664
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,8,2,H2O,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.6163705944332,1287.6229705944331
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,4,-2,NH3,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.2728581439967,1287.2794581439966
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,5,-1,NH3,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.4407375551632,1287.4473375551631
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,6,0,NH3,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.60861696633,1287.6152169663299
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,7,1,NH3,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.7764963774964,1287.7830963774966
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,0,6,8,2,NH3,2,1291.9604728027234,1291.953,5.784079993740243,6569.0,0.17396716101694915,-0.0074728027234414185,1285.9443757886631,1287.9509757886633
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,4,-2,,0,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1548.9347494132,1551.3426694132002
