spec,label,ion_type,frag_name,frag_len,z,loss_formula,loss_count,h_transfer,ok,reason,raw_cosine_preanchor,anchor_theory_mz,anchor_obs_mz,anchor_ppm,anchor_within_ppm,obs_idx,obs_int,obs_rel_int,isodec_css,isodec_accepted,isodec_local_centroids_n,isodec_matched_peaks_n,isodec_minpeaks_effective,isodec_areacovered,isodec_topthree,match_tol_ppm,min_obs_rel_int,rel_intensity_cutoff,mz_min,mz_max
b19-2H2O,b19-2H2O^1+,b,b19,19,1,H2O,2,2,False,anchor_outside_ppm,0.42703858691508245,2027.0131488305,2026.9574,,False,18958,,,,False,,,,,,20.0,0.02,0.01,,
b19-2H2O,b19-2H2O^2+,b,b19,19,2,H2O,2,2,False,anchor_outside_ppm,0.0,1014.01021264875,1013.9017,,False,1266,,,,False,,,,,,20.0,0.02,0.01,,
b19-2H2O,b19-2H2O^3+,b,b19,19,3,H2O,2,2,False,anchor_outside_ppm,0.0,676.3425672548334,676.3001,,False,784,,,,False,,,,,,20.0,0.02,0.01,,
