spec,label,z,h_transfer,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
b19-2H2O,b19-2H2O^1+,1,-2,2021.9932,3.2222130158993183,2021.953,-19.88137249913275,3.444,True,18897
b19-2H2O,b19-2H2O^1+,1,-2,2022.9965,3.5,2022.9965,0.0,3.5,True,18909
b19-2H2O,b19-2H2O^1+,1,-2,2023.9997999999998,2.321851074320342,2023.9561,-21.590911224258505,5.0,False,18921
b19-2H2O,b19-2H2O^1+,1,-2,2025.0031,1.1433426672628453,2024.9578,-22.370336124422455,9.833,False,18936
b19-2H2O,b19-2H2O^1+,1,-2,2026.0064,0.4540001156403306,2025.9159,-44.66915800464402,7.0,False,18946
b19-2H2O,b19-2H2O^1+,1,-2,2027.0096999999998,0.15199415222796042,2026.9574,-25.80155388493303,4.389,False,18958
b19-2H2O,b19-2H2O^1+,1,-2,2028.013,0.04410933948503192,2027.9844,-14.102473702027254,4.333,True,18971
