spec,label,z,h_transfer,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
b19-2H2O,b19-2H2O^1+,1,-1,2022.9528,4.60316145128474,2022.9965,21.602085822241794,3.5,False,18909
b19-2H2O,b19-2H2O^1+,1,-1,2023.9561,5.0,2023.9561,0.0,5.0,True,18921
b19-2H2O,b19-2H2O^1+,1,-1,2024.9594,3.3169301061719167,2024.9578,-0.79013929862155,9.833,True,18936
b19-2H2O,b19-2H2O^1+,1,-1,2025.9627,1.6333466675183503,2025.9159,-23.1001291386439,7.0,False,18946
b19-2H2O,b19-2H2O^1+,1,-1,2026.9660000000001,0.6485715937719008,2026.9574,-4.24279440312021,4.389,True,18958
b19-2H2O,b19-2H2O^1+,1,-1,2027.9693,0.21713450318280061,2027.9844,7.445872084984197,4.333,True,18971
b19-2H2O,b19-2H2O^1+,1,-1,2028.9726,0.06301334212147418,2028.9327,-19.665125098283102,3.833,True,18985
